day,activity_time,activity_type
10/19/2022 0:00:00,13560,low
10/22/2022 0:00:00,21540,low
10/30/2022 0:00:00,24060,low
12/11/2022 0:00:00,21240,low
12/20/2022 0:00:00,20400,low
12/22/2022 0:00:00,13800,low
12/28/2022 0:00:00,13260,low
1/17/2023 0:00:00,14760,low
3/25/2023 0:00:00,22740,low
7/1/2022 0:00:00,20820,low
7/11/2022 0:00:00,16140,low
8/5/2022 0:00:00,20100,low
11/3/2022 0:00:00,17280,low
11/8/2022 0:00:00,1380,low
12/29/2022 0:00:00,18900,low
1/16/2023 0:00:00,17880,low
1/19/2023 0:00:00,20280,low
3/20/2023 0:00:00,13800,low
6/27/2022 0:00:00,19320,low
8/10/2022 0:00:00,19200,low
9/22/2022 0:00:00,17880,low
9/27/2022 0:00:00,9720,low
12/17/2022 0:00:00,22920,low
1/10/2023 0:00:00,13920,low
1/11/2023 0:00:00,17220,low
1/15/2023 0:00:00,19980,low
1/25/2023 0:00:00,14160,low
2/8/2023 0:00:00,18660,low
3/13/2023 0:00:00,17280,low
8/21/2022 0:00:00,21000,low
1/21/2023 0:00:00,18300,low
9/1/2022 0:00:00,14520,low
1/29/2023 0:00:00,20100,low
2/4/2023 0:00:00,15300,low
9/16/2022 0:00:00,22620,low
12/10/2022 0:00:00,22680,low
12/3/2022 0:00:00,19920,low
9/21/2022 0:00:00,12000,low
10/14/2022 0:00:00,23040,low
7/28/2022 0:00:00,13020,low
9/30/2022 0:00:00,13800,low
10/28/2022 0:00:00,9840,low
1/4/2023 0:00:00,17220,low
11/7/2022 0:00:00,14340,low
9/29/2022 0:00:00,15600,low
8/17/2022 0:00:00,12120,low
11/15/2022 0:00:00,11460,low
8/29/2022 0:00:00,13680,low
2/28/2023 0:00:00,12720,low
3/2/2023 0:00:00,16260,low
7/25/2022 0:00:00,17280,low
2/17/2023 0:00:00,17100,low
7/26/2022 0:00:00,11640,low
10/6/2022 0:00:00,11160,low
10/24/2022 0:00:00,11700,low
1/31/2023 0:00:00,11340,low
7/29/2022 0:00:00,9540,low
2/20/2023 0:00:00,12300,low
8/30/2022 0:00:00,10920,low
9/8/2022 0:00:00,9780,low
7/17/2022 0:00:00,4140,low
10/21/2022 0:00:00,15780,low
2/21/2023 0:00:00,12420,low
2/23/2023 0:00:00,12180,low
3/6/2023 0:00:00,13260,low
10/26/2022 0:00:00,15840,low
2/5/2023 0:00:00,18660,low
9/20/2022 0:00:00,14700,low
12/13/2022 0:00:00,15060,low
12/21/2022 0:00:00,15600,low
12/23/2022 0:00:00,18120,low
1/13/2023 0:00:00,15840,low
8/23/2022 0:00:00,10320,low
2/11/2023 0:00:00,21540,low
3/18/2023 0:00:00,4260,low
12/9/2022 0:00:00,20040,low
8/6/2022 0:00:00,18420,low
9/9/2022 0:00:00,18360,low
9/12/2022 0:00:00,16860,low
10/29/2022 0:00:00,22680,low
10/18/2022 0:00:00,12060,low
8/22/2022 0:00:00,12720,low
11/6/2022 0:00:00,18480,low
12/19/2022 0:00:00,21360,low
6/24/2022 0:00:00,12480,low
7/20/2022 0:00:00,17760,low
10/5/2022 0:00:00,12360,low
11/14/2022 0:00:00,4500,low
9/14/2022 0:00:00,14520,low
1/28/2023 0:00:00,15480,low
3/3/2023 0:00:00,15000,low
9/2/2022 0:00:00,20520,low
9/6/2022 0:00:00,14880,low
3/17/2023 0:00:00,12840,low
8/1/2022 0:00:00,15480,low
10/1/2022 0:00:00,19020,low
10/8/2022 0:00:00,25860,low
10/27/2022 0:00:00,15000,low
10/31/2022 0:00:00,17460,low
11/25/2022 0:00:00,16260,low
11/26/2022 0:00:00,19920,low
12/16/2022 0:00:00,9420,low
12/31/2022 0:00:00,16740,low
3/24/2023 0:00:00,17100,low
8/7/2022 0:00:00,25860,low
12/14/2022 0:00:00,21900,low
11/5/2022 0:00:00,26820,low
1/12/2023 0:00:00,15240,low
1/26/2023 0:00:00,13500,low
6/26/2022 0:00:00,17700,low
8/16/2022 0:00:00,12720,low
12/1/2022 0:00:00,20460,low
12/18/2022 0:00:00,22200,low
10/25/2022 0:00:00,10620,low
12/15/2022 0:00:00,17340,low
2/6/2023 0:00:00,17940,low
3/11/2023 0:00:00,18480,low
7/3/2022 0:00:00,14100,low
8/12/2022 0:00:00,16200,low
8/15/2022 0:00:00,14280,low
9/24/2022 0:00:00,22980,low
3/14/2023 0:00:00,19020,low
3/15/2023 0:00:00,16560,low
3/19/2023 0:00:00,1620,medium
6/30/2022 0:00:00,60,medium
1/18/2023 0:00:00,3000,medium
2/15/2023 0:00:00,300,medium
6/25/2022 0:00:00,1740,medium
